City,colors,shape,State,Time
Nipomo,,OTHER,CA,2009-01-06 08:35:00
Rancho Cucamonga,,LIGHT,CA,2009-01-06 10:15:00
Palmdale,,LIGHT,CA,2009-01-06 19:45:00
Amarillo,,TRIANGLE,TX,2009-01-06 20:00:00
Kinder,,TEARDROP,LA,2009-01-06 21:30:00
Hooks,,LIGHT,TX,2009-01-07 05:30:00
Rancho Cucamonga,BLUE,LIGHT,CA,2009-01-07 10:15:00
Los Angeles,,OTHER,CA,2009-01-07 17:00:00
Effingham,,OVAL,SC,2009-01-07 18:45:00
Dunnellon,,LIGHT,FL,2009-01-07 19:00:00
Fillmore,,LIGHT,CA,2009-01-07 19:50:00
Snellville,,TRIANGLE,GA,2009-01-07 20:00:00
Collinsville,,LIGHT,MS,2009-01-07 20:23:00
Matagorda,,OTHER,TX,2009-01-08 05:30:00
Rancho Cucamonga,BLUE,LIGHT,CA,2009-01-08 09:30:00
Oshkosh,,LIGHT,WI,2009-01-08 17:00:00
Brentwood,,RECTANGLE,MO,2009-01-08 18:09:00
Gaston,,SPHERE,SC,2009-01-08 18:30:00
Lake Waccamaw,,DISK,NC,2009-01-08 18:30:00
Lincolnton,,LIGHT,NC,2009-01-08 20:10:00
Los Angeles,,LIGHT,CA,2009-01-09 04:50:00
Huntsville,,OTHER,AL,2009-01-09 09:00:00
Palm Beach,,LIGHT,FL,2009-01-09 09:15:00
Southaven,,FORMATION,MS,2009-01-09 17:45:00
Philadelphia,ORANGE,OTHER,PA,2009-01-09 18:19:00
Alexander,,FLASH,AR,2009-01-09 18:33:00
Ball Ground,RED,CIRCLE,GA,2009-01-09 19:00:00
Johnston,,OVAL,RI,2009-01-09 21:00:00
Hazlet,RED,DIAMOND,NJ,2009-01-09 21:26:00
Portland,,LIGHT,OR,2009-01-09 21:30:00
Glendale,,LIGHT,AZ,2009-01-09 22:00:00
Winter Springs,,OTHER,FL,2009-01-10 00:00:00
Middletown,,TRIANGLE,OH,2009-01-10 02:05:00
Rancho Cucamonga,,LIGHT,CA,2009-01-10 10:19:00
Cocoa,,OVAL,FL,2009-01-10 16:30:00
Cocoa,,OVAL,FL,2009-01-10 16:30:00
San Antonio,,DISK,TX,2009-01-10 17:00:00
Folsom,,LIGHT,LA,2009-01-10 17:30:00
Bountiful,,LIGHT,UT,2009-01-10 18:10:00
Marysville,,LIGHT,WA,2009-01-10 18:30:00
Ray City,,LIGHT,GA,2009-01-10 19:30:00
Williston,ORANGE,CIRCLE,VT,2009-01-10 19:30:00
Reseda,,DISK,CA,2009-01-10 20:00:00
Miami,,FORMATION,FL,2009-01-10 21:10:00
Sacramento,,OTHER,CA,2009-01-11 00:00:00
Santa Ana,,OVAL,CA,2009-01-11 00:00:00
San Francisco,ORANGE,FIREBALL,CA,2009-01-11 00:02:00
Dover,,CIRCLE,DE,2009-01-11 10:10:00
Naples,RED,OTHER,FL,2009-01-11 19:30:00
Christmas Valley,,LIGHT,OR,2009-01-11 20:30:00
Haiku,,LIGHT,HI,2009-01-11 20:45:00
Houston,,CIRCLE,TX,2009-01-11 21:30:00
Anderson,,LIGHT,SC,2009-01-12 03:27:00
Miramar,,LIGHT,FL,2009-01-12 06:23:00
San Pablo,,FORMATION,CA,2009-01-12 08:30:00
Arden,RED YELLOW BLUE,LIGHT,NC,2009-01-12 10:00:00
Bridgeville,,LIGHT,CA,2009-01-12 18:30:00
Lexington,,OTHER,KY,2009-01-12 18:30:00
Bethlehem,,CIRCLE,PA,2009-01-12 20:05:00
Arlee,,FLASH,MT,2009-01-12 20:30:00
Wentzville,,TRIANGLE,MO,2009-01-12 20:30:00
Monroe,RED GREEN,TRIANGLE,LA,2009-01-12 21:05:00
Kendall,,LIGHT,FL,2009-01-13 01:20:00
Kendall,,LIGHT,FL,2009-01-13 01:45:00
Lock Haven,ORANGE,SPHERE,PA,2009-01-13 03:00:00
New York City,,OTHER,NY,2009-01-13 04:20:00
San Francisco,,SPHERE,CA,2009-01-13 11:15:00
Metairie,,OVAL,LA,2009-01-13 16:15:00
Plano,,VARIOUS,IL,2009-01-13 16:25:00
Electra,,OVAL,TX,2009-01-13 16:28:00
Louisville,,EGG,KY,2009-01-13 17:15:00
Montebello,ORANGE,FIREBALL,CA,2009-01-13 18:00:00
Bluffton,,TRIANGLE,SC,2009-01-13 18:30:00
Peru,,LIGHT,IN,2009-01-13 19:12:00
Laguna Niguel,,CIRCLE,CA,2009-01-13 19:13:00
Gettysburg,ORANGE,TRIANGLE,PA,2009-01-13 19:45:00
Walnut Creek,,DIAMOND,CA,2009-01-13 20:00:00
Brunswick,,CIRCLE,GA,2009-01-13 20:25:00
Gable,,LIGHT,SC,2009-01-13 21:00:00
Long Beach,ORANGE,TRIANGLE,CA,2009-01-13 21:30:00
Portland,,EGG,OR,2009-01-13 21:43:00
Little Neck Bay,,VARIOUS,NY,2009-01-13 23:09:00
Winder,,CIGAR,GA,2009-01-14 00:00:00
Argyle,,DISK,TX,2009-01-14 01:08:00
West Chester,,OTHER,PA,2009-01-14 18:35:00
Eatonville,,LIGHT,WA,2009-01-14 19:00:00
Portland,,LIGHT,OR,2009-01-14 19:30:00
Chandler,,CIRCLE,AZ,2009-01-14 19:33:00
Battle Mountain,,OVAL,NV,2009-01-14 20:00:00
Grass Valley,YELLOW,TRIANGLE,CA,2009-01-14 20:00:00
Pinehurst,,FIREBALL,NC,2009-01-14 20:25:00
Long Beach,,CIRCLE,CA,2009-01-14 21:00:00
Leesburg,ORANGE,LIGHT,GA,2009-01-14 21:15:00
Hammonton,RED,OTHER,NJ,2009-01-14 21:25:00
Perry,,SPHERE,IA,2009-01-14 21:25:00
Prospect,RED,LIGHT,PA,2009-01-14 23:00:00
Grand Blanc,ORANGE,LIGHT,MI,2009-01-14 23:15:00
Louisville,,DISK,KY,2009-01-15 00:00:00
Rockville,RED,SPHERE,MD,2009-01-15 00:05:00
Florissant,,VARIOUS,MO,2009-01-15 01:00:00
Tarboro,,SPHERE,NC,2009-01-15 04:00:00
Plainfield,,CIRCLE,IL,2009-01-15 09:00:00
Queen Creek,,CIRCLE,AZ,2009-01-15 14:04:00
Jacksonville,GREEN,CIRCLE,NC,2009-01-15 15:00:00
Orange County,,DISK,CA,2009-01-15 16:30:00
Houston,,OTHER,TX,2009-01-15 18:10:00
Birmingham,,LIGHT,AL,2009-01-15 18:15:00
Holden,,RECTANGLE,ME,2009-01-15 19:00:00
Groton,,DIAMOND,CT,2009-01-15 19:15:00
New Paltz,,LIGHT,NY,2009-01-15 20:00:00
Olathe,,LIGHT,KS,2009-01-15 20:00:00
Commack,GREEN,LIGHT,NY,2009-01-15 21:00:00
Danville,GREEN,FIREBALL,GA,2009-01-15 21:00:00
Punta Gorda,,TEARDROP,FL,2009-01-15 23:35:00
Reston,,LIGHT,VA,2009-01-16 00:00:00
Spring Valley,,LIGHT,CA,2009-01-16 00:00:00
Powdersville,,CIGAR,SC,2009-01-16 07:40:00
Bakersfield,,FORMATION,CA,2009-01-16 08:00:00
Port St. Lucie,,VARIOUS,FL,2009-01-16 09:00:00
Van Nuys,,DIAMOND,CA,2009-01-16 09:00:00
Tucson,RED,LIGHT,AZ,2009-01-16 16:10:00
Yuma,,LIGHT,AZ,2009-01-16 18:25:00
Albuquerque,YELLOW,OTHER,NM,2009-01-16 18:30:00
Buffalo,RED YELLOW GREEN BLUE,LIGHT,MN,2009-01-16 18:30:00
Clarkston,,LIGHT,WA,2009-01-16 18:30:00
San Francisco,RED,LIGHT,CA,2009-01-16 18:30:00
Fullerton,,CIRCLE,CA,2009-01-16 19:00:00
Atlanta,,LIGHT,GA,2009-01-16 19:30:00
brunswick,RED,TRIANGLE,GA,2009-01-16 20:00:00
Riverside,,EGG,CA,2009-01-16 20:00:00
Anaheim,,DISK,CA,2009-01-16 20:30:00
Gladwin,RED ORANGE,SPHERE,MI,2009-01-16 20:45:00
Rensselaer,,TRIANGLE,NY,2009-01-16 22:00:00
San Diego,ORANGE,LIGHT,CA,2009-01-16 23:25:00
Ukiah,,DISK,CA,2009-01-17 02:00:00
Moraga,RED,LIGHT,CA,2009-01-17 04:30:00
Loveland,,TRIANGLE,OH,2009-01-17 06:25:00
Phoenix,,FIREBALL,AZ,2009-01-17 15:32:00
Killeen,,TEARDROP,TX,2009-01-17 18:20:00
Houston,,VARIOUS,TX,2009-01-17 20:00:00
Orlando,,LIGHT,FL,2009-01-17 20:05:00
Denville,RED,DISK,NJ,2009-01-17 20:30:00
San Diego,,FLASH,CA,2009-01-17 21:00:00
Canton,,OTHER,TX,2009-01-18 00:50:00
Canton,,OTHER,TX,2009-01-18 00:50:00
San Leandro,,RECTANGLE,CA,2009-01-18 03:32:00
Springfield,,FORMATION,MO,2009-01-18 05:15:00
Phoenix,,CIRCLE,AZ,2009-01-18 06:34:00
Pittsford,,OVAL,VT,2009-01-18 06:35:00
Los Angeles,,DISK,CA,2009-01-18 07:30:00
Bremerton,,VARIOUS,WA,2009-01-18 09:14:00
Newbury Park,,TRIANGLE,CA,2009-01-18 11:00:00
Parrish,,OVAL,FL,2009-01-18 13:25:00
San Diego,,FLASH,CA,2009-01-18 17:00:00
Irvine,ORANGE,FIREBALL,CA,2009-01-18 17:30:00
Laguna Hills,,FIREBALL,CA,2009-01-18 17:30:00
Manhattan Beach,,LIGHT,CA,2009-01-18 17:30:00
Fremont,,FIREBALL,CA,2009-01-18 17:45:00
Berkeley,,DISK,CA,2009-01-18 18:45:00
San Dimas,,OVAL,CA,2009-01-18 18:50:00
San Francisco,,LIGHT,CA,2009-01-18 19:00:00
Westminster,RED,TEARDROP,CA,2009-01-18 19:00:00
Phoenix,,CIRCLE,AZ,2009-01-18 19:05:00
Sacramento,,FLASH,CA,2009-01-18 19:45:00
Bay City,,LIGHT,TX,2009-01-18 20:00:00
Buena Park,,VARIOUS,CA,2009-01-18 20:00:00
Anaheim Hills,RED,OVAL,CA,2009-01-18 20:40:00
Sun Valley,,TRIANGLE,CA,2009-01-18 20:50:00
Fontana,,FORMATION,CA,2009-01-18 20:55:00
Stanwood,,DISK,WA,2009-01-18 21:00:00
Jacksonville Beach,,CIGAR,FL,2009-01-18 23:00:00
Canby,RED YELLOW,OTHER,OR,2009-01-19 00:00:00
Everett,RED BLUE,SPHERE,WA,2009-01-19 01:52:00
Riverview,,LIGHT,FL,2009-01-19 02:40:00
Playa del Rey,,CIGAR,CA,2009-01-19 10:30:00
Providence,,FORMATION,RI,2009-01-19 14:21:00
Santa Barbara,,FIREBALL,CA,2009-01-19 17:00:00
Everett,,CIRCLE,WA,2009-01-19 19:00:00
Graham,,CIRCLE,WA,2009-01-19 19:30:00
Pleasant Gap,,TRIANGLE,PA,2009-01-19 19:38:00
Redondo Beach,RED,SPHERE,CA,2009-01-19 20:00:00
Chino HIlls,RED,OVAL,CA,2009-01-19 20:37:00
Arp,,LIGHT,TX,2009-01-19 23:00:00
Deer Park,,DISK,NY,2009-01-20 02:26:00
Marathon,,CIRCLE,FL,2009-01-20 05:00:00
Lordsburg,,RECTANGLE,NM,2009-01-20 19:00:00
San Francisco,,VARIOUS,CA,2009-01-20 19:00:00
Wasilla,,TRIANGLE,AK,2009-01-20 19:15:00
Lake Geneva,,LIGHT,WI,2009-01-20 20:00:00
Victorville,ORANGE,RECTANGLE,CA,2009-01-20 20:20:00
Spring Hill,RED,LIGHT,KS,2009-01-20 22:00:00
Goodland,ORANGE,CIRCLE,MO,2009-01-20 22:19:00
Berkeley,,SPHERE,CA,2009-01-21 00:00:00
Hermitage,,OTHER,PA,2009-01-21 03:30:00
Monroeville,,OTHER,NJ,2009-01-21 18:00:00
Merton,,LIGHT,WI,2009-01-21 18:45:00
Pensacola,RED ORANGE,CIRCLE,FL,2009-01-21 18:45:00
St. Louis Park,,LIGHT,MN,2009-01-21 18:57:00
Fresno,,RECTANGLE,CA,2009-01-21 19:00:00
Oakland or Wanaque,,TRIANGLE,NJ,2009-01-21 19:15:00
Pueblo,ORANGE,SPHERE,CO,2009-01-21 20:00:00
Centereach,,DIAMOND,NY,2009-01-21 20:10:00
Dagsboro,,VARIOUS,DE,2009-01-21 20:45:00
Fortuna,,TRIANGLE,CA,2009-01-21 22:30:00
Hammonton,,CIRCLE,NJ,2009-01-21 23:00:00
Nashville,,TRIANGLE,TN,2009-01-21 23:00:00
Tampa,,OVAL,FL,2009-01-22 13:15:00
Gautier,ORANGE,FIREBALL,MS,2009-01-22 18:45:00
Ocean Springs,,LIGHT,MS,2009-01-22 19:10:00
Las Vegas,,DIAMOND,NV,2009-01-22 19:30:00
Dayton,,OTHER,OH,2009-01-22 20:00:00
Isle of Palms,,FLASH,SC,2009-01-22 21:00:00
Byhaila,BLUE,LIGHT,MS,2009-01-22 21:04:00
Deltona,,SPHERE,FL,2009-01-23 00:55:00
Sterling Heights,,LIGHT,MI,2009-01-23 01:30:00
Enola,,TRIANGLE,PA,2009-01-23 04:30:00
Sharon,,TRIANGLE,CT,2009-01-23 05:20:00
Bloomington,,TRIANGLE,MN,2009-01-23 07:15:00
Lafayette,RED,FORMATION,LA,2009-01-23 08:55:00
Springfield,GREEN,LIGHT,MA,2009-01-23 09:00:00
Hightstown,,TRIANGLE,NJ,2009-01-23 11:38:00
Plumsteadville,,DIAMOND,PA,2009-01-23 18:00:00
Des Moines,,OVAL,IA,2009-01-23 19:00:00
Slidell,RED GREEN BLUE,SPHERE,LA,2009-01-23 19:00:00
Eastsound,,LIGHT,WA,2009-01-23 19:45:00
Copperas Cove,,VARIOUS,TX,2009-01-23 20:00:00
Kaufman County,,LIGHT,TX,2009-01-23 20:45:00
Lakeville,GREEN,CIRCLE,MA,2009-01-23 21:00:00
San Antonio,,LIGHT,TX,2009-01-23 21:00:00
Louisa,,TRIANGLE,KY,2009-01-23 21:45:00
Boston,,CIGAR,MA,2009-01-23 22:00:00
Fresno,,TRIANGLE,CA,2009-01-23 22:35:00
Kenner,,LIGHT,LA,2009-01-23 23:30:00
Beatrice,,DISK,NE,2009-01-24 00:30:00
Dixon,,CIRCLE,MO,2009-01-24 01:15:00
Dixon,,CIRCLE,MO,2009-01-24 01:15:00
Fairbanks,,OVAL,AK,2009-01-24 18:00:00
Lake City,,TRIANGLE,MI,2009-01-24 19:15:00
Sycamore,,LIGHT,IL,2009-01-24 20:00:00
Pipe Creek,RED,LIGHT,TX,2009-01-24 21:00:00
Mass City,RED,LIGHT,MI,2009-01-24 21:50:00
Bruin,,DISK,KY,2009-01-24 22:17:00
Fairless Hills,,OVAL,PA,2009-01-24 22:25:00
Morristown,,TRIANGLE,NJ,2009-01-24 22:30:00
Corona,GREEN,CIGAR,CA,2009-01-25 00:00:00
Hayward,,DISK,CA,2009-01-25 07:00:00
Canton,,LIGHT,OH,2009-01-25 08:00:00
Mesa,YELLOW,LIGHT,AZ,2009-01-25 08:45:00
Webster Groves,,OTHER,MO,2009-01-25 17:50:00
North Miami Beach,,OVAL,FL,2009-01-25 19:00:00
Yakima,,OTHER,WA,2009-01-25 22:30:00
Santa Ana,ORANGE,LIGHT,CA,2009-01-26 12:15:00
Owasso,,TRIANGLE,OK,2009-01-26 16:00:00
West Shokan,,FIREBALL,NY,2009-01-26 16:30:00
Scarsdale,,DISK,NY,2009-01-26 19:30:00
West Paterson,,CIRCLE,NJ,2009-01-26 19:50:00
Randolph,ORANGE,TRIANGLE,NJ,2009-01-26 20:20:00
Fort Walton Beach,,TRIANGLE,FL,2009-01-26 20:30:00
Lake Hopatcong,RED,LIGHT,NJ,2009-01-26 20:30:00
Cedar Knolls,,CIRCLE,NJ,2009-01-26 20:50:00
N. Hollywood,ORANGE,CONE,CA,2009-01-27 03:30:00
Christiansburg,,TRIANGLE,VA,2009-01-27 06:00:00
West Jordan,,DISK,UT,2009-01-27 14:53:00
Minneapolis,,LIGHT,MN,2009-01-27 19:00:00
Bozrah,,TRIANGLE,CT,2009-01-27 20:30:00
Frazier Park,ORANGE,TEARDROP,CA,2009-01-27 23:30:00
Newport,,OVAL,ME,2009-01-27 23:30:00
Silsbee,,LIGHT,TX,2009-01-28 09:30:00
Louisville,,CONE,KY,2009-01-28 12:45:00
Alexandria,,OTHER,VA,2009-01-28 13:45:00
Rio Rico,,CIGAR,AZ,2009-01-28 17:00:00
Rohnert Park,,DISK,CA,2009-01-28 17:35:00
Seal Beach,RED ORANGE,LIGHT,CA,2009-01-28 17:45:00
Nampa,,LIGHT,ID,2009-01-28 18:00:00
Nassau,,LIGHT,NY,2009-01-28 20:00:00
Appling,,TRIANGLE,GA,2009-01-28 22:00:00
Good Hope,,FIREBALL,IL,2009-01-28 22:45:00
Averill Park,,LIGHT,NY,2009-01-28 23:00:00
Wayne,,LIGHT,ME,2009-01-28 23:07:00
Carrollton,,CIRCLE,TX,2009-01-29 06:30:00
Brownwood,,TRIANGLE,TX,2009-01-29 19:00:00
Glastonbury,BLUE,CIRCLE,CT,2009-01-29 19:30:00
Eastland,,LIGHT,TX,2009-01-29 19:45:00
New Brunswick,RED,LIGHT,NJ,2009-01-29 20:00:00
Bloomfield,RED,FORMATION,NJ,2009-01-29 20:01:00
Whittier,,FIREBALL,CA,2009-01-29 20:20:00
St. Louis,,DIAMOND,MO,2009-01-29 20:50:00
North Coventry,RED,TRIANGLE,PA,2009-01-29 23:45:00
Mission Hills,,LIGHT,CA,2009-01-30 05:47:00
San Diego,,DISK,CA,2009-01-30 09:00:00
Madison,,CYLINDER,WI,2009-01-30 13:00:00
Lacey,,SPHERE,WA,2009-01-30 13:20:00
Frenchtown,,DISK,MT,2009-01-30 19:00:00
Atlantic City,,TRIANGLE,NJ,2009-01-30 19:20:00
San Marcos,RED,TRIANGLE,TX,2009-01-30 20:04:00
Canton,,LIGHT,TX,2009-01-30 21:00:00
Marshes Siding,,OTHER,KY,2009-01-30 21:00:00
Baker,RED,LIGHT,LA,2009-01-30 23:00:00
Avilton,RED,FORMATION,MD,2009-01-31 02:00:00
Gladstone,,LIGHT,NM,2009-01-31 02:30:00
Elko,RED,LIGHT,NV,2009-01-31 10:15:00
Scottsbluff,,VARIOUS,NE,2009-01-31 10:30:00
St. Charles,,OTHER,MO,2009-01-31 12:20:00
West Monroe,,SPHERE,LA,2009-01-31 13:00:00
Huntington Beach,,SPHERE,CA,2009-01-31 13:10:00
Huntington Beach,,VARIOUS,CA,2009-01-31 13:35:00
Fort Wayne,GREEN BLUE,CIRCLE,IN,2009-01-31 18:40:00
Downey,,SPHERE,CA,2009-01-31 21:00:00
Hackberry,,OTHER,LA,2009-01-31 21:00:00
Wendell,RED,LIGHT,ID,2009-01-31 21:00:00
Canyon Lake,,FIREBALL,TX,2009-01-31 21:25:00
Anaheim,,TRIANGLE,CA,2009-01-31 22:00:00
North Hollywood,,CYLINDER,CA,2009-01-31 22:15:00
Canton,,OTHER,TX,2009-02-01 08:00:00
Clearwater,,EGG,FL,2009-02-01 09:45:00
Pismo Beach,,CYLINDER,CA,2009-02-01 10:00:00
Tampa,,OVAL,FL,2009-02-01 17:50:00
Robstown,,CIGAR,TX,2009-02-01 19:00:00
Rohnert Park,,SPHERE,CA,2009-02-01 19:30:00
Oakland,,LIGHT,CA,2009-02-01 19:38:00
Berkeley,,SPHERE,CA,2009-02-01 20:30:00
Frankfort,,TEARDROP,IL,2009-02-01 21:00:00
Round Rock,,VARIOUS,TX,2009-02-01 21:00:00
Sterling,,CIRCLE,VA,2009-02-01 21:30:00
Madison,,LIGHT,WI,2009-02-02 05:00:00
Maryville,,LIGHT,TN,2009-02-02 07:30:00
Ottumwa,,SPHERE,IA,2009-02-02 09:00:00
Hawthorne,RED ORANGE BLUE,CIRCLE,CA,2009-02-02 12:00:00
Atlanta,,RECTANGLE,GA,2009-02-02 14:00:00
Evesham,,CONE,NJ,2009-02-02 18:30:00
Paducah,,LIGHT,KY,2009-02-02 18:30:00
Duarte,,LIGHT,CA,2009-02-02 18:35:00
Eugene,,OTHER,OR,2009-02-02 18:43:00
Pleasanton,,LIGHT,CA,2009-02-02 18:45:00
Brownwood,,LIGHT,TX,2009-02-02 18:50:00
Hoquiam,,TRIANGLE,WA,2009-02-02 19:12:00
Carlsbad,,LIGHT,CA,2009-02-02 19:40:00
Celina,,CIRCLE,TX,2009-02-02 20:00:00
Dinuba,RED,TRIANGLE,CA,2009-02-02 20:45:00
Schaumburg,GREEN,LIGHT,IL,2009-02-02 21:10:00
Lafayette,,OTHER,CO,2009-02-02 21:34:00
Springfield,,EGG,IL,2009-02-02 22:15:00
Cecil,GREEN,FIREBALL,GA,2009-02-03 00:59:00
Madera,,SPHERE,CA,2009-02-03 04:30:00
"Yorktown Heights,",,CIRCLE,NY,2009-02-03 14:28:00
Thornton,,LIGHT,CO,2009-02-03 16:30:00
Burleson,,OTHER,TX,2009-02-03 17:00:00
Burleson,,OTHER,TX,2009-02-03 17:00:00
Watson,,LIGHT,OK,2009-02-03 19:00:00
Lake Worth,ORANGE,CIRCLE,FL,2009-02-03 19:30:00
Palm Desert,,CHEVRON,CA,2009-02-03 19:30:00
South New Belrin,RED BLUE,LIGHT,NY,2009-02-03 19:30:00
Tukwila,,LIGHT,WA,2009-02-03 20:00:00
Weaverville,,EGG,CA,2009-02-03 20:00:00
Anahuac,,OVAL,TX,2009-02-03 20:50:00
Glenolden,,OVAL,PA,2009-02-04 00:00:00
Jonesboro,,LIGHT,AR,2009-02-04 04:10:00
Los Angeles,,LIGHT,CA,2009-02-04 06:30:00
North Mobile County,BLUE,CIGAR,AL,2009-02-04 07:00:00
New Paris,,DIAMOND,OH,2009-02-04 10:10:00
New York City,,DISK,NY,2009-02-04 12:00:00
El Dorado,,CIGAR,AR,2009-02-04 16:00:00
San Diego,,CONE,CA,2009-02-04 17:00:00
Austin,,CIRCLE,TX,2009-02-04 18:59:00
Earp,ORANGE,FORMATION,CA,2009-02-04 20:00:00
Ozona,ORANGE,LIGHT,TX,2009-02-04 21:00:00
Boerne,,CIRCLE,TX,2009-02-04 22:00:00
Chattanooga,,LIGHT,TN,2009-02-04 22:29:00
Warrington,,LIGHT,IN,2009-02-04 22:45:00
Kearney,RED,CIRCLE,NE,2009-02-05 01:00:00
Maple Valley,,TRIANGLE,WA,2009-02-05 06:30:00
Olympia,,RECTANGLE,WA,2009-02-05 07:15:00
Kokomo,,OTHER,IN,2009-02-05 09:55:00
Gila Bend,,EGG,AZ,2009-02-05 14:15:00
Madison,,OTHER,AL,2009-02-05 17:15:00
San Diego,,FIREBALL,CA,2009-02-05 17:24:00
Coral Springs,,CIRCLE,FL,2009-02-05 17:30:00
Weslaco,,LIGHT,TX,2009-02-05 21:00:00
Spearsville,,TRIANGLE,LA,2009-02-05 21:23:00
Pittsburg,,OVAL,CA,2009-02-05 21:35:00
Cocoa,,VARIOUS,FL,2009-02-05 22:30:00
New Braunfels,RED,LIGHT,TX,2009-02-05 22:45:00
Newark,,LIGHT,OH,2009-02-06 00:00:00
Kansas City,,TEARDROP,MO,2009-02-06 10:00:00
New York City,,FIREBALL,NY,2009-02-06 12:03:00
Oakville,,TRIANGLE,MO,2009-02-06 19:00:00
Reston,,LIGHT,VA,2009-02-06 19:20:00
North Bergen,GREEN,LIGHT,NJ,2009-02-06 19:30:00
Watkins Glen,,LIGHT,NY,2009-02-06 20:00:00
Lincoln,,LIGHT,NE,2009-02-06 21:00:00
Maysville,,FIREBALL,NC,2009-02-06 21:00:00
Powder Springs,,TRIANGLE,GA,2009-02-06 22:00:00
Louisville,,OVAL,KY,2009-02-07 07:40:00
Greenwood,,SPHERE,SC,2009-02-07 16:45:00
Berkeley,,SPHERE,CA,2009-02-07 17:29:00
Grants Pass,,CIRCLE,OR,2009-02-07 18:00:00
Belmar,,FORMATION,NJ,2009-02-07 19:30:00
Morton,ORANGE,LIGHT,NC,2009-02-07 19:30:00
Parsippany,RED,LIGHT,NJ,2009-02-07 20:08:00
Saint Croix Falls,RED,TRIANGLE,WI,2009-02-08 00:00:00
Duluth,,TRIANGLE,MN,2009-02-08 10:00:00
Grand Rapids,,TRIANGLE,MI,2009-02-08 12:15:00
Ashnurn,,VARIOUS,VA,2009-02-08 14:15:00
Erin,,EGG,WI,2009-02-08 14:30:00
Franklin,,LIGHT,WI,2009-02-08 17:30:00
West Branch,,CIGAR,MI,2009-02-08 17:50:00
Spring Hill,,VARIOUS,TN,2009-02-08 18:00:00
Hampton,,LIGHT,VA,2009-02-08 20:00:00
Lake View Terrace,GREEN,SPHERE,CA,2009-02-08 20:00:00
Waterloo,,SPHERE,NY,2009-02-08 20:20:00
Port Reading,,DISK,NJ,2009-02-08 20:30:00
Syracuse,,LIGHT,NY,2009-02-09 06:20:00
Monroe,,CYLINDER,WA,2009-02-09 08:00:00
Baltimore,,RECTANGLE,MD,2009-02-09 18:14:00
Mesa,,DISK,AZ,2009-02-10 10:00:00
Crookston,,CIRCLE,MN,2009-02-10 12:00:00
Hollister,,CIGAR,NC,2009-02-10 12:00:00
Hickory,,VARIOUS,NC,2009-02-10 16:00:00
Grover Beach,RED GREEN,EGG,CA,2009-02-10 18:00:00
Edgar Springs,,LIGHT,MO,2009-02-10 18:20:00
Carta Valley,,FIREBALL,TX,2009-02-10 18:37:00
Hiawatha,,OTHER,IA,2009-02-10 18:55:00
Corryton,,TRIANGLE,TN,2009-02-10 19:03:00
Los Angeles,GREEN,OVAL,CA,2009-02-10 22:00:00
Azusa,,CIRCLE,CA,2009-02-10 23:00:00
Ft. Campbell,,SPHERE,KY,2009-02-11 05:40:00
Essex,,CIGAR,NC,2009-02-11 11:00:00
Cincinnati,,CYLINDER,OH,2009-02-11 17:45:00
Indianapolis,,TRIANGLE,IN,2009-02-11 19:30:00
Wenatchee,,OVAL,WA,2009-02-11 19:30:00
Boulder,,OTHER,CO,2009-02-11 20:15:00
Mountain View,,LIGHT,OK,2009-02-11 21:00:00
Spring Hill,,LIGHT,TN,2009-02-11 21:00:00
Columbus,,VARIOUS,GA,2009-02-11 22:30:00
Kelso,RED,LIGHT,WA,2009-02-11 22:30:00
Newark,,TRIANGLE,OH,2009-02-11 22:40:00
Rancho Cordova,,LIGHT,CA,2009-02-11 23:00:00
Des Moines,,FIREBALL,WA,2009-02-12 00:00:00
Beckley,,TRIANGLE,WV,2009-02-12 06:46:00
Irvine,,DIAMOND,CA,2009-02-12 08:15:00
Los Angeles,,CIRCLE,CA,2009-02-12 11:50:00
Douglasville,,OTHER,GA,2009-02-12 12:22:00
Atlanta,,DISK,GA,2009-02-12 14:35:00
San Diego,,FIREBALL,CA,2009-02-12 18:40:00
San Diego,,CIGAR,CA,2009-02-12 19:45:00
San Diego,,LIGHT,CA,2009-02-12 20:00:00
Blythewood,,OVAL,SC,2009-02-12 20:28:00
Columbia,ORANGE,LIGHT,MD,2009-02-12 20:30:00
Eagle,,OVAL,WI,2009-02-12 21:30:00
Russellville,,TRIANGLE,AR,2009-02-12 21:40:00
NJ Parkway,,LIGHT,NJ,2009-02-12 22:00:00
Columbus,BLUE,OVAL,OH,2009-02-12 22:08:00
San Jacinto,,CIGAR,CA,2009-02-12 23:00:00
Rehobeth,,TRIANGLE,AL,2009-02-12 23:30:00
St. Albans,GREEN,FIREBALL,WV,2009-02-13 08:50:00
Islamorada,,OTHER,FL,2009-02-13 12:00:00
Buchanan,,TRIANGLE,GA,2009-02-13 17:00:00
Fresno,GREEN,CIRCLE,CA,2009-02-13 18:30:00
Whitehall,BLUE,OTHER,PA,2009-02-13 19:30:00
New York City,,LIGHT,NY,2009-02-13 19:55:00
Fairview,,OVAL,NC,2009-02-13 21:00:00
Melissa,,OTHER,TX,2009-02-13 21:07:00
Bloomingdale,,TRIANGLE,OH,2009-02-13 21:08:00
Bloomingburg,,CROSS,OH,2009-02-13 22:00:00
Grayson,GREEN,DISK,KY,2009-02-13 22:10:00
Ashland,,SPHERE,KY,2009-02-13 22:15:00
